date,similarity_score,distance,next_12m_return,CPI_YoY,CashRate,GDP_YoY,Unemployment,regime
2012-08-31,0.8732896253431074,0.14509547689531904,18.97314705405342,2.507401841885733,4.229166666666667,3.7118647589701443,5.172548575,Expansion
2012-09-30,0.870690188992113,0.14851414733129406,18.96284476863459,2.312453248265511,4.125,3.8556920085212116,5.163125666666667,Expansion
2012-07-31,0.8661797862273862,0.154494731810197,18.335988007120775,2.7023504355059544,4.333333333333333,3.5680375094190775,5.165100783333333,Expansion
2012-10-31,0.8612161452849586,0.16114869127206233,20.112906796546383,2.194479823003934,4.020833333333333,3.8971766183884036,5.1853476333333335,Expansion
2010-11-30,0.8600480453083857,0.16272574009680113,-10.134368728732213,2.602837465300217,4.166666666666667,2.35648977431588,5.2973329,Expansion
2010-10-31,0.8588083172390641,0.16440418650676938,-7.797751844860135,2.461850690129991,4.0625,2.3239671829178943,5.325578525,Expansion
2010-12-31,0.8563912699840622,0.16769055810039993,-14.511506364326054,2.743824240470444,4.270833333333333,2.389012365713866,5.259880316666667,Expansion
2011-01-31,0.8554875723056076,0.16892405263693058,-10.332569048570639,2.802230986310915,4.354166666666667,2.394711799295494,5.208690333333334,Expansion
2012-06-30,0.8509768810955206,0.17512005580296355,17.291066282420765,2.8972990291261773,4.4375,3.4242102598680106,5.144620125,Expansion
2011-02-28,0.85056908671965,0.17568345195409493,-11.035453360101,2.8606377321513854,4.4375,2.4004112328771217,5.186854858333334,Expansion
