Date,Close,CPI,CashRate
1999-01-31,2781.7,,
1999-02-28,2768.4,,
1999-03-31,2867.0,,
1999-04-30,3027.8,,
1999-05-31,2831.9,,
1999-06-30,2903.7,,
1999-07-31,2951.0,,
1999-08-31,2875.7,,
1999-09-30,2817.0,,
1999-10-31,2821.4,,
1999-11-30,2970.3,,5.0
1999-12-31,3117.7,,
2000-01-31,3080.2,,
2000-02-29,3124.6,,5.5
2000-03-31,3133.3,,
2000-04-30,3115.8,,5.75
2000-05-31,3081.0,,6.0
2000-06-30,3311.2,,
2000-07-31,3251.1,,
2000-08-31,3297.8,,6.25
2000-09-30,3298.8,,
2000-10-31,3254.6,,
2000-11-30,3274.6,,
2000-12-31,3206.2,,
2001-01-31,3341.7,,
2001-02-28,3326.5,,5.75
2001-03-31,3147.2,,5.5
2001-04-30,3329.4,,5.0
2001-05-31,3379.1,,
2001-06-30,3490.3,,
2001-07-31,3324.5,,
2001-08-31,3275.6,,
2001-09-30,3049.5,,4.75
2001-10-31,3249.6,,4.5
2001-11-30,3337.4,,
2001-12-31,3422.3,,4.25
2002-01-31,3464.2,,
2002-02-28,3414.3,,
2002-03-31,3414.8,,
2002-04-30,3350.0,,
2002-05-31,3373.6,,4.5
2002-06-30,3216.0,,4.75
2002-07-31,3086.2,,
2002-08-31,3120.1,,
2002-09-30,2970.9,,
2002-10-31,3042.9,,
2002-11-30,3061.4,,
2002-12-31,3007.1,,
2003-01-31,2956.9,,
2003-02-28,2800.9,,
2003-03-31,2885.2,,
2003-04-30,3007.5,,
2003-05-31,3011.0,,
2003-06-30,3026.9,,
2003-07-31,3122.3,,
2003-08-31,3199.7,,
2003-09-30,3169.5,,
2003-10-31,3272.0,,
2003-11-30,3186.4,,5.0
2003-12-31,3299.8,,5.25
2004-01-31,3272.0,,
2004-02-29,3360.6,,
2004-03-31,3415.3,,
2004-04-30,3400.8,,
2004-05-31,3460.2,,
2004-06-30,3532.9,,
2004-07-31,3536.1,,
2004-08-31,3552.7,,
2004-09-30,3665.0,,
2004-10-31,3778.6,,
2004-11-30,3931.3,,
2004-12-31,4050.6,,
2005-01-31,4107.3,,
2005-02-28,4172.8,,
2005-03-31,4109.8,,5.5
2005-04-30,3983.2,,
2005-05-31,4106.4,,
2005-06-30,4277.5,,
2005-07-31,4388.8,,
2005-08-31,4446.8,,
