lag_months,correlation,p_value
0,0.07724054246828398,0.12930407205193706
3,0.03445875236887087,0.49744012383442715
6,0.008677689409832358,0.8643623344331762
9,0.005993891066947971,0.9060748106191765
12,0.02959726260334632,0.5600611900723358
15,0.06601070247841889,0.19331264340114757
18,0.10065389059732707,0.04698649829160352
21,0.11827845026897534,0.019464062036599332
24,0.12895123835684094,0.010801384635075642
