Date,ASX200,CPI,CashRate,Unemployment,GDP_real,ASX_YoY,CPI_YoY,GDP_YoY,Unemp_Change_YoY,Rate_Change_MoM,Rate_Change_YoY,ASX_Peak,Drawdown,GDP_Rolling_6m,Recession,Bear_Market
1996-07-31,2114.1,66.7,7.0,8.5681037,291014.0,1.4784236547784602,3.091190108191655,4.0208746626632985,0.140822,-0.5,-0.5,2248.7,-5.985680615466715,3.91536772727988,0,0
1996-08-31,2196.1,66.7,7.0,8.722275,291014.0,4.860812682041726,3.091190108191655,4.0208746626632985,0.4024149999999995,0.0,-0.5,2248.7,-2.3391292746920422,3.990676364823708,0,0
1996-09-30,2218.6,66.9,7.0,8.5759647,293183.0,6.087122842251214,2.13740458015268,3.691665635112918,0.2135142999999999,0.0,-0.5,2248.7,-1.3385511628941082,3.945874292845175,0,0
1996-10-31,2286.2,66.9,7.0,8.7594889,293183.0,12.63733556683253,2.13740458015268,3.691665635112918,0.1843757999999997,0.0,-0.5,2286.2,0.0,3.9010722208666415,0,0
1996-11-30,2325.9,66.9,6.5,8.4706921,293183.0,10.065303804656466,2.13740458015268,3.691665635112918,0.018641500000001,-0.5,-1.0,2325.9,0.0,3.856270148888108,0,0
1996-12-31,2367.8,67.0,6.0,8.6306583,295962.0,9.879808807833324,1.5151515151515138,3.4900919991188273,0.4862279000000011,-0.5,-1.5,2367.8,0.0,3.767806371630696,0,0
1997-01-31,2370.7,67.0,6.0,8.5659154,295962.0,6.41439985636052,1.5151515151515138,3.4900919991188273,0.1111679999999992,0.0,-1.5,2370.7,0.0,3.679342594373283,0,0
1997-02-28,2386.0,67.0,6.0,8.7026423,295962.0,7.081949555695188,1.5151515151515138,3.4900919991188273,0.3759119000000002,0.0,-1.5,2386.0,0.0,3.5908788171158723,0,0
1997-03-31,2360.5,67.1,6.0,8.59235,300054.0,9.080406654343795,1.3595166163141936,3.964131899810463,0.1712489999999995,0.0,-1.5,2386.0,-1.0687342833193614,3.63628986123213,0,0
1997-04-30,2424.1,67.1,6.0,8.5683442,300054.0,7.80006225819363,1.3595166163141936,3.964131899810463,-0.0097526999999999,0.0,-1.5,2424.1,0.0,3.681700905348387,0,0
1997-05-31,2544.9,67.1,5.5,8.5474538,300054.0,15.7825295723385,1.3595166163141936,3.964131899810463,0.1331056999999997,-0.5,-2.0,2544.9,0.0,3.727111949464645,0,0
1997-06-30,2664.7,66.9,5.5,8.331105,304646.0,22.695459987107448,0.2998500749625155,4.6843107204464385,0.0766479000000011,0.0,-2.0,2664.7,0.0,3.9261484030192473,0,0
1997-07-31,2673.7,66.9,5.0,8.5894125,304646.0,26.469892625703608,0.2998500749625155,4.6843107204464385,0.0213087999999999,-0.5,-2.0,2673.7,0.0,4.125184856573849,0,0
1997-08-31,2526.8,66.9,5.0,8.4649429,304646.0,15.058512818177691,0.2998500749625155,4.6843107204464385,-0.2573320999999993,0.0,-2.0,2673.7,-5.494258892171889,4.3242213101284515,0,0
1997-09-30,2703.1,66.6,5.0,8.0675754,308617.0,21.83809609663751,-0.448430493273555,5.264288857130195,-0.5083892999999993,0.0,-2.0,2703.1,0.0,4.540914136348406,0,0
1997-10-31,2415.0,66.6,5.0,8.0332333,308617.0,5.633802816901423,-0.448430493273555,5.264288857130195,-0.7262556,0.0,-2.0,2703.1,-10.658133254411595,4.757606962568361,0,0
1997-11-30,2424.1,66.6,5.0,7.9869333,308617.0,4.222021583043123,-0.448430493273555,5.264288857130195,-0.4837588000000012,0.0,-1.5,2703.1,-10.321482742036924,4.974299788788318,0,0
1997-12-31,2567.4,66.8,5.0,7.9104492,311370.0,8.429766027536111,-0.2985074626865702,5.206073752711493,-0.7202090999999999,0.0,-1.0,2703.1,-5.020162036180675,5.061260294165826,0,0
1998-01-31,2600.8,66.8,5.0,7.8650531,311370.0,9.705994010207974,-0.2985074626865702,5.206073752711493,-0.7008622999999998,0.0,-1.0,2703.1,-3.7845436720801984,5.148220799543335,0,0
1998-02-28,2626.9,66.8,5.0,7.7723795,311370.0,10.096395641240562,-0.2985074626865702,5.206073752711493,-0.9302628000000004,0.0,-1.0,2703.1,-2.818985609115454,5.235181304920844,0,0
1998-03-31,2686.0,67.0,5.0,7.8835292,313958.0,13.789451387417916,-0.1490312965722662,4.633832576802832,-0.7088207999999998,0.0,-1.0,2703.1,-0.6326070067700029,5.130105258199617,0,0
1998-04-30,2709.0,67.0,5.0,7.6037722,313958.0,11.75281547790934,-0.1490312965722662,4.633832576802832,-0.9645720000000004,0.0,-1.0,2709.0,0.0,5.025029211478389,0,0
1998-05-31,2655.3,67.0,5.0,7.7648394,313958.0,4.338087940587054,-0.1490312965722662,4.633832576802832,-0.7826143999999999,0.0,-0.5,2709.0,-1.9822812846068572,4.919953164757163,0,0
1998-06-30,2620.1,67.4,5.0,7.8322262,317973.0,-1.6737343791045856,0.7473841554558991,4.374585584580126,-0.4988788000000008,0.0,-0.5,2709.0,-3.28165374677003,4.781371803401934,0,0
1998-07-31,2661.3,67.4,5.0,7.9746808,317973.0,-0.4637767887197386,0.7473841554558991,4.374585584580126,-0.6147317000000001,0.0,0.0,2709.0,-1.760797342192688,4.6427904420467065,0,0
1998-08-31,2430.1,67.4,5.0,7.7552089,317973.0,-3.826974829824292,0.7473841554558991,4.374585584580126,-0.7097340000000001,0.0,0.0,2709.0,-10.295311923218907,4.50420908069148,0,0
1998-09-30,2511.3,67.5,5.0,7.6335862,322748.0,-7.095556953127879,1.3513513513513598,4.578814517670771,-0.4339892000000009,0.0,0.0,2709.0,-7.297895902547058,4.495039404169469,0,0
1998-10-31,2563.0,67.5,5.0,7.3137386,322748.0,6.1283643892339645,1.3513513513513598,4.578814517670771,-0.7194946999999994,0.0,0.0,2709.0,-5.38944259874492,4.485869727647459,0,0
1998-11-30,2685.6,67.5,5.0,7.626238,322748.0,10.787508766140007,1.3513513513513598,4.578814517670771,-0.3606952999999997,0.0,0.0,2709.0,-0.8637873754152814,4.476700051125449,0,0
