Date,ASX200
1992-11-30,1456.4000244140625
1992-12-31,1564.699951171875
1993-01-31,1536.5
1993-02-28,1620.199951171875
1993-03-31,1674.5
1993-04-30,1685.199951171875
1993-05-31,1737.4000244140625
1993-06-30,1734.5999755859375
1993-07-31,1837.0999755859375
1993-08-31,1961.5999755859375
1993-09-30,1919.800048828125
1993-10-31,2070.60009765625
1993-11-30,1953.699951171875
1993-12-31,2113.60009765625
1994-01-31,2244.39990234375
1994-02-28,2112.0
1994-03-31,1980.0999755859375
1994-04-30,2004.199951171875
1994-05-31,2021.199951171875
1994-06-30,1931.0999755859375
1994-07-31,2003.5
1994-08-31,2063.89990234375
1994-09-30,1967.699951171875
1994-10-31,1980.9000244140625
1994-11-30,1833.800048828125
1994-12-31,1857.4000244140625
1995-01-31,1784.699951171875
1995-02-28,1881.0999755859375
1995-03-31,1867.0999755859375
1995-04-30,2006.5
1995-05-31,1981.4000244140625
1995-06-30,1981.0
1995-07-31,2083.300048828125
1995-08-31,2094.300048828125
1995-09-30,2091.300048828125
1995-10-31,2029.699951171875
1995-11-30,2113.199951171875
1995-12-31,2154.89990234375
1996-01-31,2227.800048828125
1996-02-29,2228.199951171875
1996-03-31,2164.0
1996-04-30,2248.699951171875
1996-05-31,2198.0
1996-06-30,2171.800048828125
1996-07-31,2114.10009765625
1996-08-31,2196.10009765625
1996-09-30,2218.60009765625
1996-10-31,2286.199951171875
1996-11-30,2325.89990234375
1996-12-31,2367.800048828125
1997-01-31,2370.699951171875
1997-02-28,2386.0
1997-03-31,2360.5
1997-04-30,2424.10009765625
1997-05-31,2544.89990234375
1997-06-30,2664.699951171875
1997-07-31,2673.699951171875
1997-08-31,2526.800048828125
1997-09-30,2703.10009765625
1997-10-31,2415.0
1997-11-30,2424.10009765625
1997-12-31,2567.39990234375
1998-01-31,2600.800048828125
1998-02-28,2626.89990234375
1998-03-31,2686.0
1998-04-30,2709.0
1998-05-31,2655.300048828125
1998-06-30,2620.10009765625
1998-07-31,2661.300048828125
1998-08-31,2430.10009765625
1998-09-30,2511.300048828125
1998-10-31,2563.0
1998-11-30,2685.60009765625
1998-12-31,2717.60009765625
1999-01-31,2781.699951171875
1999-02-28,2768.39990234375
1999-03-31,2867.0
1999-04-30,3027.800048828125
1999-05-31,2831.89990234375
1999-06-30,2903.699951171875
1999-07-31,2951.0
1999-08-31,2875.699951171875
1999-09-30,2817.0
1999-10-31,2821.39990234375
1999-11-30,2970.300048828125
1999-12-31,3117.699951171875
2000-01-31,3080.199951171875
2000-02-29,3124.60009765625
2000-03-31,3133.300048828125
2000-04-30,3115.800048828125
2000-05-31,3081.0
2000-06-30,3311.199951171875
2000-07-31,3251.10009765625
2000-08-31,3297.800048828125
2000-09-30,3298.800048828125
2000-10-31,3254.60009765625
2000-11-30,3274.60009765625
2000-12-31,3206.199951171875
2001-01-31,3341.699951171875
2001-02-28,3326.5
2001-03-31,3147.199951171875
2001-04-30,3329.39990234375
2001-05-31,3379.10009765625
2001-06-30,3490.300048828125
2001-07-31,3324.5
2001-08-31,3275.60009765625
2001-09-30,3049.5
2001-10-31,3249.60009765625
2001-11-30,3337.5
2001-12-31,3422.300048828125
2002-01-31,3464.199951171875
2002-02-28,3414.300048828125
2002-03-31,3414.800048828125
2002-04-30,3350.0
2002-05-31,3373.60009765625
2002-06-30,3216.0
2002-07-31,3086.199951171875
2002-08-31,3120.10009765625
2002-09-30,2970.89990234375
2002-10-31,3042.89990234375
2002-11-30,3061.39990234375
2002-12-31,3007.10009765625
2003-01-31,2956.89990234375
2003-02-28,2800.89990234375
2003-03-31,2885.199951171875
2003-04-30,3007.5
2003-05-31,3011.0
2003-06-30,3026.89990234375
2003-07-31,3122.300048828125
2003-08-31,3199.699951171875
2003-09-30,3169.5
2003-10-31,3272.0
2003-11-30,3186.39990234375
2003-12-31,3299.800048828125
2004-01-31,3272.0
2004-02-29,3360.60009765625
2004-03-31,3415.300048828125
2004-04-30,3400.800048828125
2004-05-31,3460.199951171875
2004-06-30,3532.89990234375
2004-07-31,3536.10009765625
2004-08-31,3552.699951171875
2004-09-30,3665.0
2004-10-31,3778.60009765625
2004-11-30,3931.300048828125
2004-12-31,4050.60009765625
2005-01-31,4107.2998046875
2005-02-28,4172.7998046875
2005-03-31,4109.7998046875
2005-04-30,3983.199951171875
2005-05-31,4106.39990234375
2005-06-30,4277.5
2005-07-31,4388.7998046875
2005-08-31,4446.7998046875
2005-09-30,4641.2001953125
2005-10-31,4459.7001953125
2005-11-30,4634.7998046875
2005-12-31,4763.39990234375
2006-01-31,4929.60009765625
2006-02-28,4921.2998046875
2006-03-31,5129.7001953125
2006-04-30,5258.7998046875
2006-05-31,5001.7001953125
2006-06-30,5073.89990234375
2006-07-31,4986.0
2006-08-31,5115.39990234375
2006-09-30,5154.10009765625
2006-10-31,5384.39990234375
2006-11-30,5482.10009765625
2006-12-31,5669.89990234375
2007-01-31,5773.39990234375
2007-02-28,5832.5
2007-03-31,5995.0
2007-04-30,6166.0
2007-05-31,6313.5
2007-06-30,6274.89990234375
2007-07-31,6144.2001953125
2007-08-31,6247.2001953125
2007-09-30,6567.7998046875
2007-10-31,6754.10009765625
2007-11-30,6533.10009765625
2007-12-31,6339.7998046875
2008-01-31,5650.2998046875
2008-02-29,5572.10009765625
2008-03-31,5355.7001953125
2008-04-30,5595.39990234375
2008-05-31,5654.7001953125
2008-06-30,5215.2998046875
2008-07-31,4977.39990234375
2008-08-31,5135.60009765625
2008-09-30,4600.5
2008-10-31,4018.0
2008-11-30,3742.5
